PRODCODE,BARCODE
C01623300, 4977766666695
000008857040006538,000008857040006538
C02310620,0084511362581
C02310640,0084511365049
C06630020,00902519
C01640010,010343600003
C01630010,010343601802
C01630050,010343602977
C01630030,010343605480
C01630550,010343812628
C02113290,01100150
C05610990,021200003394
C04210250,021200058851
C04210240,021200073397
C05610190,021200418211
C05610910,021200516979
C01240050,021200530401
C05610860,021200665301
C05610070,021200699313
C05610110,021200716720
C01130120,027242816510
C01130100,027242852273
C01120180,027242852389
C01130060,027242852464
C01120150,027242852563
C01130040,027242852686
C01130040,027242852693
C01130070,027242852761
C01130130,027242852884
C03850550,03200582
C10220180,036000672121
C10220190,036000672213
C10220200,036000672268
C05413460,040459070001
C05413470,040459070018
C05413480,040459070025
C05413980,040459070032
C05413500,040459070049
C05413510,040459070056
C05413520,040459070063
C05413530,040459070070
C05413580,040459070124
C05413600,040459070148
C05413630,040459070179
C05413640,040459070186
C05413970,040459070193
C05413660,040459070216
C05413670,040459070223
C05413900,040459072005
C05413910,040459072012
C05413920,04045907202
C05413920,040459072029
C07261040,043859679911
C07261050,043859679997
C08241830,048011140025
C04270210,048011192192
C02710190,04801177
C01120050,051122166273
C01120080,051122173011
C01130370,051122173387
C10220250,051138290085
C08110640,070177010768
C08110650,070177010775
C08110690,070177118525
C02310610,071641371132
C02740300,072512167106
C02740330,072512167229
C02740340,072512167250
C02740320,072512167281
C03540500,079916473017
C03540530,079916474014
C02160410,084511306363
C02160580,084511306448
C02312170,084511307582
C02312150,084511307612
C02312160,084511307667
C02160450,084511318373
C02310620,084511362581
C02521110,084511362857
C02310640,084511365049
C02521120,084511390362
C02521130,084511390379
C02521140,084511390386
C02521150,084511390393
C02521160,084511390409
C02521190,084511390416
C02521170,084511390454
C02521180,084511390461
C08221000,08850002015845
C08120000,08850124007896
C08110100,08850124017017
C08110440,08850124025975
C08110820,08850127002317
C08110710,08850127064209
C08110750,08850127064216
C01613830,088698445419
C03310200,091511200195
C03320080,091511500455
C03040340,092399558842
C03012590,092399609889
C01220280,097855067128
C03330070,1003942
C02310640,10084511365046
C02711770,1400200001
C02711790,1400200002
C02513060,1400200003
C01140510,1400400001
C01230030,1400400006
C01250100,1400400007
C01250110,1400400008
C01260010,1400400009
C01260480,1400400010
C01260620,1400400011
C01260630,1400400012
C01320310,1400400016
C01320330,1400400018
C01610750,1400400021
C01611400,1400400022
C01613020,1400400023
C01613030,1400400024
C01622460,1400400025
C01622490,1400400026
C01622750,1400400027
C01623100,1400400028
C01623430,1400400029
C01623520,1400400030
C01623680,1400400031
C01623690,1400400032
C01623960,1400400034
C01623970,1400400035
C01623980,1400400036
C01623990,1400400037
C01624030,1400400038
C01624040,1400400039
C01624050,1400400040
C01624060,1400400041
C01630570,1400400043
C01630580,1400400044
C01640000,1400400045
C01640760,1400400046
C01641150,1400400047
C01641170,1400400048
C01641290,1400400049
C01641390,1400400050
C01641710,1400400051
C01642280,1400400052
C01810460,1400400053
C02113350,1400400056
C02113370,1400400057
C02113510,1400400058
C02114080,1400400062
C02115210,1400400065
C02115220,1400400066
C02116710,1400400067
C02116740,1400400068
C02116750,1400400069
C02116770,1400400070
C02116780,1400400071
C02117240,1400400075
C02134090,1400400076
C02134100,1400400077
C02134110,1400400078
C02134120,1400400079
C02134190,1400400083
C02134200,1400400084
C02134210,1400400085
C02134220,1400400086
C02134230,1400400087
C02134240,1400400088
C02213330,1400400089
C02213340,1400400090
