Bin ID,Product Code,Product Name,Unit,NS Code,NS Name,NS SubGroup,Quantity
OB_Cutsize,208010701412652,QUALITY BLUE 70G. A4(500)6L 480 R/P BOX,RM,1CZD-QB-070-A04-500-6L-001,Quality Blue 70G A4 (500) AUTO 6L 480 R/P N,Cutsize,6752
OB_Cutsize,208010701422412,QUALITY BLUE 70G. A3(500) 4L 140 R/P BOX,RM,1CZD-QB-070-A03-500-4L-001,Quality Blue 70G A3 (500) AUTO 4L 140 R/P N (D),Cutsize,400
OB_Cutsize,208010701812653,SPEED YELLOW 70G. A4(500)6L 480 R/P SHR,RM,1CZD-SY-070-A04-500-6L-001,Speed Yellow 70G A4 (500) 6L 480 R/P SHR N,Cutsize,3515
OB_Cutsize,208010801512652,QUALITY GREEN 80G. A4(500)6L 480R/P BOX,RM,1CZD-QG-080-A04-500-6L-001,Quality Green 80G A4 (500) AUTO 6L 480 R/P N,Cutsize,1425
OB_Cutsize,208010801912653,SPEED RED 80G. A4(500)6L 480 R/P SHR,RM,1CZD-SR-080-A04-500-6L-001,Speed Red 80G A4 (500) 6L 480 R/P SHR N,Cutsize,3070
OB_Cutsize,208040800612652,DA-GREEN 80G. A4(500) 6L 480 R/P BOX,RM,1CZD-DG-080-A04-500-6L-001,Double A Green 80G A4 (500) AUTO 6L 480 R/P N,Cutsize,887
OB_Cutsize,208110706012652,QUALITY ORANGE 70G. A4(500)6L480 R/P BOX,RM,1CZD-QO-070-A04-500-001,Quality Orange 70G A4 (500) (D),Cutsize - (Parent),2
OB_Cutsize,208110806312652,QUALITY PURPLE 80G. A4(500)6L480 R/P BOX,RM,1CZD-QP-080-A04-500-6L-002,Quality Purple 80G A4 (500) AUTO 6L 480 R/P STICKER N,Cutsize,12563
OB_Cutsize,208140700612652,DOUBLE A 70G A4(500) 6L 480 R/P BOX,RM,1CZD-DA-070-A04-500-6L-001,Double A 70G A4 (500) AUTO 6L 480 R/P N,Cutsize,10444
OB_Cutsize,208140700692802,DOUBLE A 70G. A5 LG 4L 600 R/P BOX DOM,RM,1CZE-DA-070-A05-500-4L-002,Double A 70G A5 (500) MN 4L 600 R/P N,Cutsize,1771
